Wrist,,Palmar Arch,,Index finger,,,,Middle Finger,,,,Ring Finger,,,,Little Finger,,,Thumb,,,,
fe,rud,rad/mid,mid/uln,mcp,pip,dip,abd,mcp,pip,dip,abd,mcp,pip,dip,abd,mcp,pip,dip,mcp,ip,abd,rot,
13.333,10.427,26.942,7.3344,51.901,39.001,20.196,3.0458,24.797,16.45,9.4389,11.704,5.0435,2.6459,-3.1241,16.36,6.9515,3.1652,-8.5555,13.782,-18.837,33.429,75.633,
13.195,10.386,27.001,7.4212,51.878,39.2,20.218,2.9991,24.617,16.983,9.7887,11.694,5.1041,2.6893,-3.1039,16.292,6.9654,3.2116,-8.4925,13.974,-18.931,33.294,75.594,
13.096,10.342,27.044,7.5408,51.855,39.314,20.357,2.996,24.443,17.457,10.051,11.714,5.1558,2.6994,-3.0525,16.227,6.969,3.2071,-8.3762,14.22,-19.016,33.058,75.522,
13.01,10.301,27.07,7.6572,51.86,39.367,20.586,3.0224,24.302,17.86,10.243,11.748,5.2079,2.684,-2.9828,16.168,6.9876,3.1379,-8.193,14.409,-19.077,32.843,75.44,
12.928,10.276,27.069,7.7577,51.904,39.416,20.777,3.0477,24.195,18.198,10.397,11.78,5.254,2.6649,-2.907,16.107,7.0176,3.0457,-7.9807,14.514,-19.153,32.727,75.371,
12.862,10.276,27.023,7.8715,51.972,39.497,20.849,3.0393,24.109,18.482,10.549,11.817,5.2826,2.6621,-2.845,16.051,7.0414,2.9964,-7.8255,14.602,-19.292,32.699,75.32,
12.821,10.3,26.938,7.9943,52.03,39.606,20.811,2.9985,24.024,18.719,10.723,11.87,5.2844,2.6747,-2.8085,16.007,7.0525,3.0086,-7.798,14.711,-19.469,32.689,75.268,
12.807,10.342,26.823,8.1113,52.057,39.721,20.708,2.9436,23.929,18.923,10.926,11.948,5.2554,2.6907,-2.7859,15.991,7.0504,3.078,-7.9098,14.816,-19.614,32.662,75.222,
12.822,10.391,26.723,8.15,52.058,39.814,20.633,2.8943,23.826,19.101,11.14,12.024,5.1813,2.7199,-2.7884,16.013,7.0219,3.1704,-8.1017,14.865,-19.683,32.631,75.199,
12.88,10.439,26.667,8.0811,52.057,39.855,20.66,2.8633,23.736,19.25,11.34,12.079,5.0604,2.777,-2.838,16.062,6.956,3.2348,-8.2835,14.849,-19.681,32.613,75.218,
12.968,10.472,26.648,7.9205,52.094,39.829,20.807,2.8415,23.679,19.378,11.506,12.102,4.9318,2.8305,-2.9017,16.117,6.8667,3.2278,-8.3818,14.786,-19.644,32.61,75.276,
13.1,10.492,26.628,7.7309,52.177,39.74,21.041,2.821,23.652,19.504,11.624,12.103,4.8239,2.8443,-2.9224,16.172,6.7548,3.1815,-8.4146,14.704,-19.615,32.603,75.367,
13.301,10.511,26.594,7.5609,52.293,39.609,21.305,2.8147,23.635,19.644,11.692,12.086,4.7389,2.8158,-2.8679,16.231,6.6079,3.1495,-8.418,14.633,-19.658,32.564,75.458,
13.598,10.541,26.543,7.4393,52.428,39.446,21.539,2.8282,23.606,19.799,11.727,12.055,4.6581,2.7702,-2.7685,16.289,6.4293,3.1413,-8.4013,14.599,-19.815,32.475,75.539,
13.964,10.571,26.486,7.3647,52.565,39.26,21.7,2.8511,23.557,19.958,11.752,12.021,4.5689,2.7501,-2.7047,16.343,6.2405,3.1044,-8.3366,14.594,-20.092,32.359,75.617,
14.341,10.595,26.436,7.3302,52.698,39.078,21.775,2.8604,23.513,20.077,11.811,11.997,4.4908,2.7452,-2.7001,16.389,6.0649,3.0315,-8.2464,14.596,-20.456,32.265,75.703,
14.669,10.612,26.401,7.3166,52.811,38.919,21.795,2.8427,23.49,20.131,11.908,11.997,4.4342,2.7364,-2.7333,16.427,5.9008,2.9637,-8.1708,14.625,-20.891,32.214,75.773,
14.921,10.636,26.381,7.3305,52.893,38.796,21.765,2.8038,23.49,20.13,12.025,12.021,4.4103,2.7203,-2.7919,16.452,5.7475,2.9312,-8.1307,14.723,-21.404,32.182,75.794,
15.103,10.656,26.384,7.3548,52.937,38.727,21.651,2.7501,23.502,20.116,12.111,12.06,4.4122,2.7172,-2.8679,16.462,5.622,2.9116,-8.1019,14.892,-21.983,32.148,75.75,
15.228,10.663,26.398,7.3854,52.947,38.722,21.435,2.7043,23.516,20.122,12.156,12.107,4.4393,2.74,-2.9612,16.451,5.5485,2.8918,-8.1026,15.029,-22.551,32.151,75.665,
15.301,10.637,26.431,7.4012,52.941,38.768,21.201,2.6794,23.544,20.142,12.163,12.145,4.4971,2.7626,-3.0349,16.422,5.5331,2.874,-8.1594,15.058,-23.03,32.225,75.561,
15.312,10.573,26.487,7.3636,52.938,38.834,21.067,2.6693,23.582,20.17,12.131,12.139,4.5721,2.7586,-3.0409,16.401,5.555,2.8768,-8.2755,14.965,-23.384,32.353,75.475,
